,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
301,comodoro rivadavia,56.0,AR,1584244015.0,45.0,-45.87,-67.5,62.6,6.93
302,te anau,100.0,NZ,1584244292.0,67.0,-45.42,167.72,61.65,7.18
303,ulladulla,90.0,AU,1584244293.0,63.0,-35.35,150.47,63.0,9.17
304,souillac,75.0,MU,1584244293.0,94.0,-20.52,57.52,80.01,7.81
305,kenai,1.0,US,1584244293.0,38.0,60.55,-151.26,30.2,5.82
306,blythe,1.0,US,1584244294.0,55.0,33.61,-114.6,66.2,8.05
307,oranjestad,75.0,AW,1584244016.0,74.0,12.52,-70.03,80.6,12.75
308,utiroa,,,,,,,,
309,asyut,0.0,EG,1584244296.0,76.0,27.18,31.18,58.59,5.28
310,huarmey,100.0,PE,1584244296.0,74.0,-10.07,-78.15,72.63,1.63
311,zhigansk,100.0,RU,1584244297.0,94.0,66.77,123.37,-3.84,23.09
312,sakakah,20.0,SA,1584244297.0,82.0,29.97,40.21,55.4,10.29
313,daru,1.0,PG,1584244298.0,57.0,-9.08,143.21,89.83,6.4
314,vargem grande,100.0,BR,1584244298.0,97.0,-3.54,-43.92,73.49,1.63
315,fort-shevchenko,90.0,KZ,1584244299.0,86.0,44.51,50.26,45.86,19.64
316,huangchuan,0.0,CN,1584244299.0,42.0,32.13,115.04,64.99,9.75
317,zhuhai,84.0,CN,1584244005.0,60.0,22.28,113.57,75.99,8.05
318,emborion,100.0,GR,1584244300.0,65.0,40.48,21.55,54.0,13.87
319,tucuman,90.0,AR,1584244300.0,88.0,-26.82,-65.22,73.4,9.17
320,muzquiz,,,,,,,,
321,osakarovka,100.0,KZ,1584244302.0,86.0,50.56,72.57,32.47,14.83
322,pella,28.0,RU,1584244303.0,57.0,59.78,30.82,21.2,8.95
323,guanica,40.0,PR,1584244305.0,79.0,17.97,-66.91,77.0,18.34
324,luceville,,,,,,,,
325,dubrovytsya,0.0,UA,1584244306.0,54.0,51.57,26.57,27.82,10.76
326,beringovskiy,85.0,RU,1584244307.0,91.0,63.05,179.32,22.42,8.55
327,dera bugti,100.0,PK,1584244307.0,43.0,29.03,69.15,61.97,6.31
328,kansanshi,100.0,ZM,1584244308.0,98.0,-12.1,26.43,62.01,2.46
329,kutum,100.0,SD,1584244308.0,30.0,14.2,24.67,53.11,3.91
330,shingu,20.0,JP,1584244310.0,43.0,33.73,135.98,51.8,5.82
331,kem,0.0,RU,1584244311.0,91.0,64.96,34.58,3.61,7.38
332,santa isabel do rio negro,100.0,BR,1584244311.0,97.0,-0.41,-65.02,74.61,1.43
333,colquechaca,61.0,BO,1584244312.0,87.0,-18.67,-66.02,51.42,3.8
334,mutsamudu,,,,,,,,
335,hay river,75.0,CA,1584244313.0,40.0,60.82,-115.8,15.8,10.29
336,half moon bay,90.0,US,1584244313.0,81.0,37.46,-122.43,51.01,6.93
337,morondava,0.0,MG,1584244314.0,88.0,-20.28,44.28,70.38,3.69
338,takoradi,100.0,GH,1584244314.0,92.0,4.88,-1.76,75.7,3.69
339,opobo,,,,,,,,
340,sol-iletsk,100.0,RU,1584244315.0,93.0,51.16,54.99,34.83,11.21
341,preili,0.0,LV,1584244316.0,75.0,56.29,26.72,25.09,6.89
342,fevralsk,,,,,,,,
343,ertil,83.0,RU,1584244223.0,78.0,51.84,40.81,30.43,19.3
344,ondorhaan,,,,,,,,
345,karratha,12.0,AU,1584244252.0,69.0,-20.74,116.85,85.66,13.22
346,mahon,0.0,ES,1584244319.0,93.0,39.89,4.27,48.2,4.7
